"filename", "language", "YAML", "Cairo", "Markdown", "Rust", "JSON", "Shell Script", "comment", "blank", "total"
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/generic_opcode/component.rs", "Rust", 0, 0, 0, -3327, 0, 0, -220, -117, -3664
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/generic_opcode/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/generic_opcode/prover.rs", "Rust", 0, 0, 0, -1541, 0, 0, -19, -174, -1734
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode/component.rs", "Rust", 0, 0, 0, -227, 0, 0, -3, -18, -248
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode/prover.rs", "Rust", 0, 0, 0, -416, 0, 0, -4, -29, -449
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_dst_base_fp/component.rs", "Rust", 0, 0, 0, -227, 0, 0, -3, -18, -248
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_dst_base_fp/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_dst_base_fp/prover.rs", "Rust", 0, 0, 0, -419, 0, 0, -4, -29, -452
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken/component.rs", "Rust", 0, 0, 0, -337, 0, 0, -9, -24, -370
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken/prover.rs", "Rust", 0, 0, 0, -566, 0, 0, -6, -36, -608
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken_dst_base_fp/component.rs", "Rust", 0, 0, 0, -337, 0, 0, -9, -24, -370
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken_dst_base_fp/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jnz_opcode_taken_dst_base_fp/prover.rs", "Rust", 0, 0, 0, -566, 0, 0, -6, -36, -608
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode/component.rs", "Rust", 0, 0, 0, -158, 0, 0, -4, -19, -181
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode/prover.rs", "Rust", 0, 0, 0, -396, 0, 0, -4, -30, -430
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode_double_deref/component.rs", "Rust", 0, 0, 0, -180, 0, 0, -4, -22, -206
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode_double_deref/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode_double_deref/prover.rs", "Rust", 0, 0, 0, -483, 0, 0, -5, -33, -521
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode_rel/component.rs", "Rust", 0, 0, 0, -200, 0, 0, -8, -21, -229
"/home/alonf/workspace/stwo-cairo/stwo_cairo_prover/crates/prover/src/components/jump_opcode_rel/mod.rs", "Rust", 0, 0, 0, -4, 0, 0, 0, -2, -6
